Timestamp,Latency_ms,Jitter_ms,PacketLoss_%,Download_Mbps,Upload_Mbps,Prediction,Advice
2025-08-07 13:33:13,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:33:41,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:42:09,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:48:24,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:53:06,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 09:49:50,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 09:50:18,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 09:59:49,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:01:10,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:01:42,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:02:06,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:02:52,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:03:12,50,5,0.0,10.5,3.2,Good,No issues detected.
